,Chỉ tiêu bán lẻ (Hàng tháng) Đơn vị: Tỷ VND,Tổng mức bán lẻ hàng hóa,  Tăng trưởng YoY,Bán lẻ hàng hóa,  Tăng trưởng YoY2,"Dịch vụ lưu trú, ăn uống",  Tăng trưởng YoY3,Dịch vụ lữ hành,  Tăng trưởng YoY4,Dịch vụ khác,  Tăng trưởng YoY5
,03/2015,253490.3,0.0876,195850.2,0.1153,26298.7,-0.0655,1962.7,-0.2133,29378.7,0.0949
,04/2015,255617.7,0.0698,196847.3,0.0983,26838.4,-0.0977,1977.9,-0.2393,29954.1,0.0946
,05/2015,260538.5,0.0843,199132.2,0.1109,29220.6,-0.0133,2150.3,-0.1631,30035.4,0.0415
,06/2015,266675.7,0.0725,200348.9,0.0715,32888.3,0.102,2730.7,0.0778,30707.8,0.0481
,07/2015,271808.1,0.1386,204840.9,0.1518,33949.8,0.1294,2798.7,0.1318,30218.7,0.066
,08/2015,271680.4,0.1213,207102.3,0.1245,32404.1,0.1485,2789.7,0.0705,29384.3,0.0763
,09/2015,270588.3,0.1066,207886.8,0.1172,30168.7,0.044,2656.2,0.1022,29876.6,0.1009
,10/2015,274752.7,0.0938,211015.7,0.107,30593.6,0.0369,2763,0.1527,30380.4,0.0596
,11/2015,282055.8,0.0642,217836.3,0.1058,29717.2,-0.134,2516.4,0.1816,31985.9,0.0125
,12/2015,294748.4,0.0785,224819.1,0.0963,32953.2,0.0989,2594.3,0.1548,34381.8,-0.0448
,01/2016,297729.5,0.0809,226577.2,0.0716,35056.5,0.13,2248.8,0.0048,33847,0.1003
,02/2016,287961.8,0.0425,218759.9,0.0374,33747.2,0.0395,2361.5,0.0446,33093.2,0.0806
,03/2016,287961.8,0.0425,218759.9,0.0374,33747.2,0.0395,2361.5,0.0446,33093.2,0.0806
,04/2016,279806.5,0.0946,214652.1,0.0904,29956.9,0.1162,2213,0.1189,32984.5,0.1012
,05/2016,286156.7,0.0983,218867.4,0.0991,31352.7,0.073,2551.4,0.1865,33385.2,0.1115
,06/2016,295823.4,0.1093,222596.7,0.111,35938.4,0.0927,3266.5,0.1962,34021.8,0.1079
,07/2016,295690.8,0.0879,222500.1,0.0862,35856.3,0.0562,3353.2,0.1981,33981.2,0.1245
,08/2016,292821,0.0778,223638.8,0.0798,33858.8,0.0449,2963.1,0.0622,32360.3,0.1013
,09/2016,296150.3,0.0945,225367.2,0.0841,35033.2,0.1612,2827.4,0.0645,32922.5,0.1019
,10/2016,295349.9,0.075,223143.8,0.0575,35826.4,0.171,2696.9,-0.0239,33682.8,0.1087
,11/2016,302924,0.074,227427.4,0.044,37304.3,0.2553,3398.4,0.3505,34793.9,0.0878
,12/2016,320312.1,0.0867,241941.8,0.0762,38914,0.1809,3292.2,0.269,36164.1,0.0518
,01/2017,330296.9,0.0994,252712.9,0.1088,37321.5,0.0314,3338.4,0.3067,36924.1,0.0929
,02/2017,309284.3,0.074,234085.6,0.0701,37723.1,0.1178,2535.5,0.0737,34940.1,0.0558
,03/2017,312459.6,0.1344,235073.5,0.1059,38185.7,0.3162,2164.2,0.0293,37036.2,0.1661
,04/2017,317503.1,0.1347,237470,0.1063,39163.5,0.3073,2459.4,0.1113,38410.2,0.1645
,05/2017,323539.9,0.1306,242909.4,0.1098,38909.7,0.241,2767.2,0.0846,38953.6,0.1668
,06/2017,326624.8,0.1041,243484.6,0.0938,41373.2,0.1512,3013.4,-0.0775,38753.6,0.1391
,07/2017,327602.112112635,0.1079,244331.602112635,0.0981,41510.122,0.1577,3358.448,0.0016,38401.94,0.1301
,08/2017,330013.269687381,0.127,249014.858687381,0.1135,39045.73,0.1532,3270.041,0.1036,38682.64,0.1954
,09/2017,336584.613250743,0.1365,251107.029250743,0.1142,42675.934,0.2182,3692.67,0.306,39108.98,0.1879
,10/2017,340889.500002332,0.1542,253774.962002332,0.1373,44085.939,0.2305,3331.571,0.2353,39697.028,0.1786
,11/2017,344808.520305916,0.1383,258321.154305916,0.1358,41792.078,0.1203,3475.608,0.0227,41219.68,0.1847
,12/2017,352368.128922697,0.1001,258943.412922697,0.0703,47908.495,0.2311,3618.531,0.0991,41897.69,0.1585
,01/2018,361073.369564194,0.0932,272004.314564194,0.0763,45089.807,0.2081,3931.896,0.1778,40047.352,0.0846
,02/2018,350441.2952255,0.1331,266872.3552255,0.1401,40962.133,0.0859,3503.089,0.3816,39103.718,0.1192
,03/2018,343786.169017586,0.1003,259540.144017586,0.1041,43501.879,0.1392,2768.819,0.2794,37975.327,0.0254
,04/2018,350541,0.1041,265845,0.1195,43830,0.1192,2762,0.123,38104,-0.008
,05/2018,354049.181408529,0.0943,266992.973408529,0.0991,42918.953,0.103,3217.005,0.1625,40920.25,0.0505
,06/2018,364534,0.1161,272262,0.1182,44900,0.0852,3446,0.1436,43926,0.1335
,07/2018,371450.518663745,0.1338,277106.644663745,0.1341,45833.097,0.1041,3500.76,0.0424,45010.017,0.1721
,08/2018,369972.259269004,0.1212,277839.592,0.113,44636.486,0.1561,3573.219,0.0963,43922.962269004,0.1411
,09/2018,373852.608449333,0.1252,282122.904,0.1414,44204.244320279,0.0387,3402,0.1185,44124.2,0.1174
,10/2018,380940,0.1235,286339.564,0.1421,45903,0.0836,3385.083540034,0.0562,45312.353836856,0.0557
,11/2018,386436.050929301,0.1223,290985.096,0.1309,48333.336211647,0.082,3627.15821506,0.03,43491,0.1165
,12/2018,385360.279584468,0.1272,290271.177886,0.1311,48809.254648746,0.1113,4017.781934866,0.0321,42262.065114856,0.1283
,01/2019,402229.825598196,0.1218,305373.320297,0.1306,49498.674745684,0.1153,4326.830555512,0.0791,43031,0.0743
,02/2019,390820.742488733,0.1146,301382.944928908,0.1246,44815.168750091,0.094,3948,0.1709,40675.237637848,0.0617
